id,card_type,customer_id
3556484672416144,jcb,456-44-1498
5020884528887285074,maestro,647-99-0647
3560991007978469,jcb,810-51-6924
3585807296706190,jcb,527-79-0598
337941787494144,americanexpress,670-42-4209
4844384897375119,visa-electron,368-77-1078
3553751342043224,jcb,505-64-5161
6390236217946164,instapayment,751-18-4926
5002354588264547,mastercard,160-18-5503
3583848725810809,jcb,524-76-2913
4844675442137478,visa-electron,690-36-7592
5322098632031146,mastercard,545-59-6762
372301026637977,americanexpress,538-59-8438
3579471408442018,jcb,514-87-7222
3574452923124310,jcb,741-82-3784
4913151056147274,visa-electron,503-06-8341
3581574413687828,jcb,464-66-3196
4917899396159161,visa-electron,784-47-9148
3543116490383785,jcb,107-94-6499
3533740871309135,jcb,861-91-8093
5048370413418963,mastercard,428-41-6132
3546095211836437,jcb,147-77-8029
5100171087721384,mastercard,321-64-3587
5602241736254054,bankcard,467-75-8727
5610546903844978,bankcard,574-90-6771
3534049910464482,jcb,668-41-4650
3544962380639417,jcb,122-36-8493
5048372738337191,mastercard,744-31-3607
3581362847070799,jcb,595-26-7924
5641823676205683871,switch,781-19-2258
630404712040244614,maestro,693-95-7131
501833806887937787,maestro,244-75-1178
5323804300880980,mastercard,118-49-1588
5602249168849036,bankcard,864-28-4758
4041599910890163,visa,760-63-6420
5048372701501005,mastercard,125-36-2712
3560913000279471,jcb,649-98-5606
374288879786183,americanexpress,536-65-5864
6331104320705467,switch,706-06-5014
3581276144643977,jcb,780-65-9359
3581984835148061,jcb,341-50-4548
4508143516212823,visa-electron,298-58-5799
3579155300863344,jcb,858-55-1704
201639536916804,diners-club-enroute,221-75-5811
67621660904467783,maestro,640-62-5743
3585468521749560,jcb,633-29-0750
5478930777050543,diners-club-us-ca,898-54-9618
3540079877048244,jcb,611-15-9612
3558203325021244,jcb,707-38-4393
3558972816633952,jcb,503-41-8571
4911533139048157016,switch,429-92-3040
6706402693190573,laser,317-85-8657
5539693687724436,diners-club-us-ca,571-85-3453
3535840283655568,jcb,105-70-2001
3577036450512174,jcb,407-61-9323
374288861326063,americanexpress,701-08-2445
3528508009682104,jcb,660-65-4627
3576078413157789,jcb,607-41-1580
4175004192313966,visa-electron,862-13-2903
5048379060851905,mastercard,816-88-9760
56022581840583152,china-unionpay,194-03-1944
5427480771757943,mastercard,286-70-3638
3588194545551264,jcb,335-68-6406
4017955562129,visa,311-22-8099
6763689550351062,maestro,220-34-1659
3561231396913713,jcb,467-75-8727
3538756823918703,jcb,690-36-7592
5602221628241401,bankcard,201-91-3601
374622602024597,americanexpress,576-81-2295
675980950403609174,maestro,198-99-7254
36426788895659,diners-club-international,653-87-4456
3530046237633025,jcb,249-48-6076
3557810947884840,jcb,456-22-7578
5602211151330176,bankcard,668-41-4650
3572610854743265,jcb,163-47-5581
4026340361933841,visa-electron,450-57-7446
5010122845062958,mastercard,405-13-3686
3582232644639311,jcb,879-13-7327
58938235402778226,maestro,675-88-3224
5002350552015360,mastercard,378-91-8559
4041595263377,visa,244-75-1178
5100177348455274,mastercard,862-13-2903
3553956364130961,jcb,691-62-2288
6761572180529848,maestro,892-49-2960
3574726107524944,jcb,810-51-6924
6759052201759777,switch,357-44-4267
490386353168286086,switch,326-64-0773
3551153687792832,jcb,125-36-2712
5048375669976416,mastercard,124-95-8194
3575871179395994,jcb,723-48-8826
3538725050767968,jcb,335-68-6406
6762782369835515992,maestro,505-64-5161
5602254428764736,bankcard,806-27-6405
3583656893212298,jcb,456-44-1498
3563604835245012,jcb,898-54-9618
3566581890007296,jcb,897-34-9181
3540474825912445,jcb,781-19-2258
3558449604788728,jcb,505-48-5184
30398410160453,diners-club-carte-blanche,423-42-9179
201994244223278,diners-club-enroute,503-06-8341
675922562305990759,switch,180-61-0750
5584932153741209,mastercard,107-94-6499
3536660145552780,jcb,796-60-8534
5108750174201756,mastercard,737-47-3494
3542178430596786,jcb,193-61-6554
560224389822588802,china-unionpay,846-66-3371
3579537249832128,jcb,660-65-4627
201497099965118,diners-club-enroute,816-88-9760
4543062224758,visa,158-75-8981
3576078211269919,jcb,256-49-9437
3583192680832825,jcb,614-48-6649
3578502629890246,jcb,571-57-1255
3587697346625062,jcb,698-90-8437
337941969038578,americanexpress,774-11-5205
6759889049337683120,switch,626-22-5741
372301694425986,americanexpress,670-42-4209
3571104423580425,jcb,448-05-2717
5406382176454982,diners-club-us-ca,137-95-4727
5610129240354819,bankcard,852-42-3139
3575447783773775,jcb,312-88-2054
4913379936616438,visa-electron,368-77-1078
3563442018637782,jcb,725-81-2112
3533365806465685,jcb,418-51-6227
3553969628096373,jcb,574-90-6771
3566293602514839,jcb,105-70-2001
67613844902417913,maestro,407-61-9323
5010127381489481,mastercard,224-14-1284
4026632080757059,visa-electron,416-10-9210
3561527756816242,jcb,103-95-6788
36349662156826,diners-club-international,301-81-0892
3572981748711655,jcb,861-91-8093
3581138647869071,jcb,723-48-8826
3542125651710042,jcb,428-41-6132
3564840213064828,jcb,631-38-5146
5602237059798800,china-unionpay,505-48-5184
3533511135171193,jcb,775-44-7698
30289289059985,diners-club-carte-blanche,843-42-3215
3528030428536787,jcb,626-22-5741
3580385105014713,jcb,180-61-0750
56022593068477892,china-unionpay,635-11-7309
493618143258341303,switch,467-75-8727
3576122616857603,jcb,357-44-4267
3556417237930225,jcb,490-95-8391
3576955327176585,jcb,881-22-8303
3532872043745077,jcb,212-18-4196
675941194820408559,switch,298-58-5799
201882681233811,diners-club-enroute,149-28-4192
3551712769143469,jcb,898-54-9618
5048375667650245,mastercard,633-29-0750
30453981570604,diners-club-carte-blanche,806-27-6405
3582299193158886,jcb,647-99-0647
5048379030406962,mastercard,871-62-1740
3571718704008689,jcb,176-67-8008
564182353802721991,switch,691-62-2288
5393135935136786,mastercard,464-66-3196
3542097869234042,jcb,256-49-9437
4917839468857755,visa-electron,515-20-6638
3572615078709406,jcb,668-41-4650
3567415367914479,jcb,784-47-9148
3559662384959637,jcb,124-95-8194
3553669171470708,jcb,576-81-2295
675902416555861372,switch,456-22-7578
4913184990463051,visa-electron,862-13-2903
3574835016230749,jcb,193-61-6554
3535314785133755,jcb,698-90-8437
3577101986589664,jcb,273-25-4894
3556390876721439,jcb,749-34-5205
3530692398977352,jcb,195-27-9460
4041374540151,visa,137-95-4727
4175006433057518,visa-electron,505-16-3616
5542508422069662,diners-club-us-ca,857-54-4926
5389095936311745,mastercard,810-51-6924
201465793789936,diners-club-enroute,879-13-7327
5602222655448968,bankcard,326-64-0773
3583890391682484,jcb,405-13-3686
5377669554915211,mastercard,750-99-4461
6767634289635662,solo,407-61-9323
3565431901691871,jcb,670-42-4209
5602251534957915,china-unionpay,514-87-7222
4844819842356318,visa-electron,595-26-7924
3583489900204235,jcb,311-22-8099
675927530800857216,switch,505-64-5161
201852912347003,diners-club-enroute,831-85-9757
6763859511211842,maestro,744-31-3607
3554557573017822,jcb,701-08-2445
3575263561721872,jcb,320-88-7619
3539050192723137,jcb,707-38-4393
4041599931938,visa,760-63-6420
201570047689954,diners-club-enroute,898-54-9618
5485800892515913,mastercard,675-88-3224
3583128203730492,jcb,653-87-4456
4026318376955983,visa-electron,276-77-8947
4508963695011104,visa-electron,149-28-4192
4017958303754537,visa,180-61-0750
374622045752036,americanexpress,649-99-3256
3560156477515395,jcb,503-41-8571
3560556526330516,jcb,393-28-7879
3533030320816967,jcb,571-85-3453
3539658780088075,jcb,311-89-0967
3544145857029870,jcb,503-06-8341
3546233712794744,jcb,655-68-1846
3536243233654725,jcb,708-43-3709
4913655153345938,visa-electron,249-48-6076
5602255436469770,bankcard,633-29-0750
30480997971906,diners-club-carte-blanche,311-22-8099
378945146681614,americanexpress,107-94-6499
3553084632450986,jcb,816-88-9760
3571961202849192,jcb,105-70-2001
3587847925524745,jcb,137-17-4818
3563809367745749,jcb,818-80-8530
5602258575269365,china-unionpay,231-45-5491
6398116360084488,instapayment,402-79-0353
3528628068091128,jcb,150-38-8445
5100135251807881,mastercard,607-41-1580
3582109972849631,jcb,256-49-9437
3531901801314346,jcb,780-65-9359
63043267690305646,maestro,845-54-3316
3551554649239459,jcb,879-13-7327
3578445690790814,jcb,637-64-4858
3582277509294413,jcb,224-14-1284
3551181253343557,jcb,570-41-9358
3556290483502810,jcb,894-21-0581
201636324823226,diners-club-enroute,192-32-2921
3534256452362210,jcb,158-75-8981
5018051586981996187,maestro,524-76-2913
3535664746919241,jcb,617-53-2390
374288337998305,americanexpress,450-57-7446
36580916442642,diners-club-international,480-34-7713
6759054299076684,maestro,468-64-0125
3583569043352262,jcb,515-20-6638
3574434006281928,jcb,843-42-3215
4913309223145700,visa-electron,541-42-0286
5100140675912325,mastercard,545-59-6762
3546917430110510,jcb,220-34-1659
5610804982220473,bankcard,368-77-1078
3545007413694077,jcb,858-55-1704
5602256124496513,china-unionpay,571-57-1255
5602246734303688,bankcard,150-64-2955
3533465977117337,jcb,892-49-2960
3555321011550293,jcb,766-85-2109
4911292267937723,switch,209-57-1757
3562285616091147,jcb,347-57-7159
4026650640215533,visa-electron,326-01-9613
30306545076429,diners-club-carte-blanche,371-12-5706
3534047876677915,jcb,693-95-7131
3538211551707860,jcb,846-66-3371
3581263406808654,jcb,298-58-5799
5610243526959611,bankcard,505-64-5161
5007663183581823,mastercard,810-51-6924
5018171008466769570,maestro,318-07-3236
4405373503575510,visa-electron,690-36-7592
3545228318723106,jcb,576-81-2295
3533692252389790,jcb,450-14-3544
4026174801537213,visa-electron,691-62-2288
30123547332340,diners-club-carte-blanche,286-70-3638
4041594618019,visa,423-42-9179
3545801308424222,jcb,402-17-5502
3550988021756733,jcb,574-90-6771
5893918481302794,maestro,212-18-4196
5112485174821402,mastercard,467-75-8727
377348600292625,americanexpress,118-49-1588
3532756115386276,jcb,653-29-0468
6771205746847252997,laser,538-59-8438
30230336868382,diners-club-carte-blanche,750-99-4461
3550138997784802,jcb,818-80-8530
3536382439063479,jcb,456-22-7578
3528982500669086,jcb,508-71-2104
5191211088940243,mastercard,649-98-5606
503843840312657961,maestro,312-88-2054
3538154981936784,jcb,744-31-3607
5020293367946691658,maestro,883-63-5465
3543338146070174,jcb,155-05-7908
374288417444006,americanexpress,120-59-0981
4745463150376772,visa,311-89-0967
5602245533489144,bankcard,251-92-5216
372301278272341,americanexpress,351-44-5628
3581735677948319,jcb,273-25-4894
3558259372249765,jcb,897-34-9181
6761000745405668,maestro,231-45-5491
5010121373466060,mastercard,857-54-4926
3572734327005456,jcb,209-57-1757
30426778076282,diners-club-carte-blanche,357-44-4267
3565244646317615,jcb,124-95-8194
6763518242497035,maestro,321-64-3587
4905096510313922477,switch,811-25-5089
3540178332930853,jcb,542-20-6472
6397205751579130,instapayment,163-47-5581
5537636769561665,diners-club-us-ca,611-15-9612
3567214710043494,jcb,371-12-5706
3538879216543126,jcb,221-75-5811
5610341253475924894,china-unionpay,195-27-9460
5100172283889066,mastercard,852-42-3139
67614106220428397,maestro,864-28-4758
3553191379996640,jcb,122-36-8493
374622718935082,americanexpress,881-22-8303
5602224585420539,bankcard,846-66-3371
5893852550333250823,maestro,503-41-8571
3554786800385187,jcb,217-83-7718
6382485140393800,instapayment,500-05-0437
6761127834426691,maestro,249-48-6076
3531339907224095,jcb,825-29-1721
3533126055471018,jcb,640-62-5743
56022510490341900,china-unionpay,839-18-3688
3547492065360482,jcb,125-36-2712
3566087111265887,jcb,880-04-0201
5007663103313406,mastercard,416-10-9210
5100174141386426,mastercard,784-47-9148
4913532302394770,visa-electron,799-67-1307
30113550510163,diners-club-carte-blanche,845-54-3316
201812789303729,diners-club-enroute,105-70-2001
6759197802024863,switch,347-57-7159
3549728259315990,jcb,894-21-0581
5100147487631472,mastercard,660-65-4627
676700090103106960,solo,799-67-1307
5038777051534541,maestro,843-42-3215
3578393161343673,jcb,238-11-7938
3548215080602870,jcb,348-08-2795
3545136435892409,jcb,536-65-5864
3579552949082718,jcb,614-48-6649
201963321620573,diners-club-enroute,192-32-2921
5602252512981844,bankcard,852-42-3139
6767666414370687788,solo,892-49-2960
6381794212598654,instapayment,312-88-2054
6304351569245870828,maestro,571-85-3453
5456988410782639,mastercard,839-18-3688
3588067062158269,jcb,351-44-5628
342664508383908,americanexpress,163-47-5581
201584603087453,diners-club-enroute,251-92-5216
5610274404189757,china-unionpay,845-54-3316
201687462044224,diners-club-enroute,675-88-3224
67612045195559103,maestro,193-61-6554
5108757932462349,mastercard,607-41-1580
3528826901132535,jcb,750-99-4461
3537542348682623,jcb,402-79-0353
201912094270728,diners-club-enroute,500-05-0437
4290063293896469,visa,635-11-7309
4903300513022206205,switch,691-62-2288
3565710630971211,jcb,690-36-7592
3556254119599129,jcb,503-06-8341
677146140791676434,laser,450-14-3544
5112815023788859,mastercard,368-77-1078
3544790686838106,jcb,791-62-6125
6395719891179322,instapayment,841-40-1431
6333703295217404,switch,276-77-8947
3540371702091451,jcb,120-59-0981
3570433828726064,jcb,273-25-4894
201630001586628,diners-club-enroute,137-17-4818
370284646804072,americanexpress,649-99-3256
337941525546353,americanexpress,456-44-1498
378543396637376,americanexpress,449-63-0748
3556897917062110,jcb,784-47-9148
30452500510455,diners-club-carte-blanche,775-44-7698
675933333352625038,maestro,318-07-3236
3555991596783673,jcb,810-51-6924
3528234153102407,jcb,751-18-4926
3562424209469952,jcb,341-50-4548
676170295490463509,maestro,723-48-8826
3557360840810344,jcb,894-21-0581
5602249977332802,bankcard,317-85-8657
30167950364225,diners-club-carte-blanche,450-57-7446
6304348578214580,laser,298-58-5799
3556538322160483,jcb,781-19-2258
3573097448458718,jcb,286-70-3638
3563868291866872,jcb,741-82-3784
5602232918353095,bankcard,149-28-4192
30199872127406,diners-club-carte-blanche,105-70-2001
3564088427105843,jcb,107-94-6499
5641823303238330,switch,571-57-1255
30075114840800,diners-club-carte-blanche,744-31-3607
4917673664231899,visa-electron,448-05-2717
3530793292130500,jcb,749-34-5205
201788527793654,diners-club-enroute,541-42-0286
5386458435331577,mastercard,775-13-8888
36560505006149,diners-club-international,611-15-9612
3584778297017021,jcb,429-92-3040
491162518818009348,switch,576-81-2295
5100139099928065,mastercard,194-03-1944
3544538128466147,jcb,122-36-8493
3538725699801483,jcb,298-58-5799
67711461273049471,laser,858-79-4869
5222056922269322,mastercard,854-08-9820
3539454849064970,jcb,347-57-7159
30442532551718,diners-club-carte-blanche,764-48-8828
5502362529798643,diners-club-us-ca,791-62-6125
560223448253282656,china-unionpay,344-16-5378
6761599470003846,maestro,163-47-5581
5100177278406750,mastercard,464-66-3196
490352746888884868,switch,515-20-6638
4905050686946123,switch,276-77-8947
5602225990021598,bankcard,595-26-7924
30140908857418,diners-club-carte-blanche,751-18-4926
3547650386568733,jcb,125-36-2712
5007668884707395,mastercard,653-87-4456
6304027719636964,maestro,195-27-9460
5233041168747139,mastercard,784-47-9148
3581702965238019,jcb,852-42-3139
201812427201848,diners-club-enroute,209-57-1757
676757924049134086,solo,357-44-4267
3557256909047093,jcb,220-34-1659
5602245381682485,bankcard,775-13-8888
6333084245184245925,switch,810-51-6924
372301591944030,americanexpress,198-99-7254
3571887718015251,jcb,858-55-1704
3528399249977144,jcb,402-17-5502
3564710423395421,jcb,536-65-5864
4041379987886,visa,541-42-0286
3543575378421670,jcb,611-15-9612
5100144272351473,mastercard,503-41-8571
3528749418457858,jcb,690-36-7592
337941221262875,americanexpress,894-21-0581
5602244671467236,china-unionpay,637-64-4858
3566627436089635,jcb,149-28-4192
5602212246561290983,china-unionpay,371-12-5706
5002354584793945,mastercard,633-29-0750
6762027504977768166,maestro,116-06-1523
6761485656596076871,maestro,416-10-9210
201480970289246,diners-club-enroute,707-38-4393
3569337470610596,jcb,898-54-9618
5100175714803085,mastercard,450-57-7446
3582283430401150,jcb,263-67-0780
3532286140293958,jcb,774-11-5205
3580194084338840,jcb,256-49-9437
6759168805845927,switch,418-51-6227
676149417368068941,maestro,231-45-5491
201477441119689,diners-club-enroute,453-11-2193
3555924266396187,jcb,649-99-3256
4405170502256989,visa-electron,286-70-3638
344006069204453,americanexpress,301-81-0892
3528239371767766,jcb,631-38-5146
3546156408281934,jcb,640-62-5743
374283214166548,americanexpress,150-38-8445
67631789678660261,maestro,861-91-8093
201517605613892,diners-club-enroute,871-62-1740
3555565061880063,jcb,212-18-4196
5568946297081447,diners-club-us-ca,535-85-2875
6761117674556335,maestro,862-13-2903
3562554942564519,jcb,839-18-3688
3545538568991009,jcb,428-41-6132
5573362159001890,diners-club-us-ca,158-75-8981
3532474489285724,jcb,725-81-2112
